# Rime user dictionary
#@/db_name	terra_pinyin
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	63338
#@/user_id	eda97b9c-91d9-424e-a110-67fce4e92b13
bang1 mang2 	帮忙	c=59 d=0.674363 t=63338
bang1 mo ning gan 	帮磨宁干	c=1 d=1 t=23595
bang1 ni3 	帮你	c=4 d=2.13446e-18 t=63338
bang1 ta1 	帮他	c=1 d=1 t=48699
bang1 wei 	帮为	c=1 d=1 t=46457
bang1 wo3 	帮我	c=117 d=0.429208 t=63338
bang1 zhu4 	帮助	c=2 d=1 t=61739
bang3 dan1 	榜单	c=15 d=3.19319e-06 t=63338
bang3 de5 	绑的	c=1 d=1 t=10338
bang3 ding4 	绑定	c=36 d=0.385304 t=63338
bang3 ding4 he zhong1 	绑定荷中	c=1 d=1 t=39594
bang3 jia4 	绑架	c=1 d=2.2232e-17 t=63338
bang3 qi3 lai2 	绑起来	c=1 d=1 t=41920
bang4 	棒	c=1 d=1 t=14467
bao1 	包	c=72 d=0.239309 t=63338
bao1 guo3 	包裹	c=5 d=1.88692 t=63187
bao1 han2 	包含	c=7 d=1.00059 t=59384
bao1 kuo4 	包括	c=3 d=0.000668817 t=63338
bao1 zi5 	包子	c=2 d=1.93239 t=24476
bao3 an1 	保安	c=1 d=1 t=20424
bao3 ba4 	宝爸	c=1 d=1 t=25018
bao3 bao3 	宝宝	c=8 d=0.00530603 t=63338
bao3 bei4 	宝贝	c=2 d=3.85309e-13 t=63338
bao3 ben3 	保本	c=2 d=1.81058 t=20481
bao3 chi2 	保持	c=4 d=1.99005 t=54915
bao3 cun2 	保存	c=16 d=2.59505e-13 t=63338
bao3 cun2 shi4 	保存是	c=1 d=1 t=15041
bao3 he2 du4 	饱和度	c=1 d=1 t=14676
bao3 hu4 	保护	c=1 d=4.07969e-12 t=63338
bao3 hu4 qi1 	保护期	c=4 d=2.06055 t=45560
bao3 liu2 	保留	c=4 d=2.88362 t=54483
bao3 liu2 bu4 	保留不	c=1 d=1 t=33939
bao3 lou2 	宝楼	c=1 d=1 t=39269
bao3 ma1 	宝妈	c=1 d=1 t=25014
bao3 mi4 	保密	c=1 d=1 t=19612
bao3 mi4 xie2 yi4 	保密协议	c=1 d=1 t=22980
bao3 mu3 	保姆	c=1 d=2.15229e-18 t=63338
bao3 shou3 	保守	c=4 d=1.99501 t=36306
bao3 zang4 	宝藏	c=5 d=8.31855e-21 t=63338
bao3 zheng4 	保证	c=3 d=0.00293808 t=63338
bao4 	报	c=13 d=0.0258604 t=63338
bao4 	抱	c=1 d=0.97531 t=63338
bao4 ban1 	报班	c=1 d=1 t=47824
bao4 biao3 	报表	c=8 d=0.254107 t=63338
bao4 biao3 	爆表	c=3 d=0.255381 t=63338
bao4 cuo4 	报错	c=55 d=0.00293434 t=63338
bao4 cuo4 le5 	报错了	c=1 d=1 t=56232
bao4 gao4 	报告	c=2 d=1 t=46110
bao4 ge4 	报个	c=0 d=0.1 t=46065
bao4 ge4 cuo4 	报个错	c=1 d=1 t=46066
bao4 ge4 ming2 	报个名	c=1 d=1 t=53981
bao4 guang1 	曝光	c=21 d=0.000137845 t=63338
bao4 jing3 	报警	c=2 d=2.84284e-15 t=63338
bao4 li4 	暴力	c=1 d=1 t=33118
bao4 lu4 	暴露	c=3 d=1.01614 t=39271
bao4 mi3 hua1 	爆米花	c=2 d=1.9802 t=63317
bao4 ming2 	报名	c=1 d=2.51271e-16 t=63338
bao4 peng2 	爆棚	c=1 d=1.66756e-16 t=63338
bao4 po4 	爆破	c=2 d=1.00001 t=53223
bao4 qi3 lai2 	抱起来	c=1 d=1 t=59909
bao4 qian4 	抱歉	c=1 d=1 t=38396
bao4 shui4 	报税	c=3 d=1.96938 t=17820
bao4 yuan4 	抱怨	c=2 d=1.96561 t=17944
bao4 zha4 	爆炸	c=1 d=1 t=49386
bei 	背	c=5 d=2.0572e-07 t=63338
bei bei fa 	背背发	c=1 d=1 t=42231
bei mo ning yu3 	背磨宁与	c=1 d=1 t=42259
bei ning 	背宁	c=1 d=1 t=42256
bei ning gan 	背宁干	c=1 d=1 t=14633
bei nu4 shi4 	背怒视	c=1 d=1 t=27760
bei shi4 	背是	c=1 d=1 t=58467
bei yong4 	背用	c=1 d=1 t=26987
bei1 bao1 	背包	c=1 d=2.01232e-21 t=63338
bei3 jing1 	北京	c=11 d=3.65936e-06 t=63338
bei3 mei3 	北美	c=1 d=1 t=54966
bei4 	被	c=57 d=0.911608 t=63338
bei4 	贝	c=2 d=1.47676e-07 t=63338
bei4 fen4 	备份	c=2 d=1.96561 t=37261
bei4 feng1 kong4 	被封控	c=1 d=1 t=21138
bei4 gan4 diao4 	被干掉	c=1 d=1 t=18221
bei4 guo1 	背锅	c=2 d=1.0216 t=53189
bei4 hou4 	背后	c=1 d=1 t=23022
bei4 jing3 	背景	c=32 d=0.99005 t=63338
bei4 jing3 se4 	背景色	c=6 d=3.7856 t=60873
bei4 jing3 tu2 	背景图	c=2 d=1 t=40528
bei4 juan ning gan 	被卷宁干	c=1 d=1 t=29890
bei4 lv4 	倍率	c=1 d=1 t=50798
bei4 ma4 	被骂	c=1 d=1 t=60984
bei4 ren2 	被人	c=1 d=1 t=43356
bei4 shu1 	背书	c=3 d=3.34767e-09 t=63338
bei4 shu1 bao1 	背书包	c=1 d=1 t=38381
bei4 wo3 men5 	被我们	c=1 d=1 t=18713
bei4 zhu4 	备注	c=5 d=1.77377e-17 t=63338
bei5 	呗	c=10 d=0.410017 t=63338
ben1 pao3 	奔跑	c=1 d=1 t=19593
ben1 pao3 ba5 	奔跑吧	c=1 d=1 t=19580
ben3 	本	c=3 d=6.94551e-07 t=63338
ben3 chang3 	本场	c=11 d=3.07817e-07 t=63338
ben3 ci4 	本次	c=12 d=8.69659e-12 t=63338
ben3 di4 	本地	c=43 d=1.83541 t=62423
ben3 fang2 	本房	c=20 d=0.000321047 t=63338
ben3 fen4 	本分	c=1 d=2.00678e-18 t=63338
ben3 hao4 	本号	c=1 d=1 t=19592
ben3 hui2 da2 	本回答	c=1 d=1 t=30131
ben3 jin1 	本金	c=1 d=1 t=42953
ben3 jing1 	本经	c=1 d=3.63464e-06 t=63338
ben3 lai2 	本来	c=5 d=1 t=43092
ben3 lun2 	本轮	c=10 d=7.22644e-21 t=63338
ben3 qi1 	本期	c=1 d=1 t=37056
ben3 qian2 	本钱	c=1 d=1 t=20374
ben3 ren2 	本人	c=4 d=0.011072 t=63338
ben3 ren2 shi4 	本人是	c=1 d=0.00271219 t=63338
ben3 shen1 	本身	c=13 d=0.00019647 t=63338
ben3 ti3 	本体	c=1 d=1 t=45121
ben3 tiao2 	本条	c=1 d=1 t=19651
ben3 xiang4 mu4 	本项目	c=2 d=1.91851 t=43915
ben3 xiao1 xi1 	本消息	c=1 d=1 t=30127
