# Rime user dictionary
#@/db_name	custom_dict_terra
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	305
#@/user_id	a9cfc3de-673b-4c99-8a22-ac18d7e1c784
xie2 dai4 	携带	c=1 d=1 t=47
xin1 	新	c=2 d=1.97045 t=259
xin4 xi1 	信息	c=4 d=3.27734 t=238
xiu1 gai3 	修改	c=4 d=3.93575 t=214
xu1 yao4 	需要	c=1 d=1 t=242
ye3 	也	c=1 d=1 t=111
ye3 hui4 	也会	c=1 d=1 t=80
yi1 ji2 	一级	c=5 d=4.20012 t=224
yi1 xie1 	一些	c=3 d=2.61407 t=194
yi1 zhong3 	一种	c=1 d=1 t=64
yi2 zhi4 	一致	c=1 d=1 t=165
yi3 qian2 	以前	c=2 d=1.956 t=140
ying1 gai1 	应该	c=2 d=1.24798 t=218
ying1 gai1 hao3 le 	应该好了	c=1 d=1 t=219
ying3 xiang3 	影响	c=1 d=1 t=113
yong4 	用	c=1 d=1 t=89
you3 	有	c=3 d=1.68072 t=271
yu3 yin1 	语音	c=1 d=1 t=240
zai4 	在	c=1 d=1 t=263
zhe4 ge4 	这个	c=7 d=5.46386 t=153
zhe4 li3 	这里	c=1 d=1 t=71
zhi1 hou4 	之后	c=1 d=1 t=31
zhi1 qian2 	之前	c=1 d=1 t=72
zhi2 jie1 	直接	c=1 d=1 t=289
zhi3 ding4 	指定	c=1 d=1 t=298
zhi3 shi4 	只是	c=1 d=1 t=121
zhi4 	至	c=0 d=0.1 t=296
zhuang4 tai4 	状态	c=1 d=1 t=151
zu3 	組	c=1 d=1 t=12
zu3 duan4 	阻断	c=1 d=1 t=291
zui4 xin1 	最新	c=1 d=1 t=58
zuo4 de 	做的	c=1 d=1 t=134
zuo4 yi1 xie1 	做一些	c=1 d=1 t=267
