# Rime user dictionary
#@/db_name	terra_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	10114
#@/user_id	b7b5346c-d7ed-45fb-a14d-dc8972459ce8
a 	啊	c=41 d=0.369507 t=10114
bian4 geng1 	变更	c=5 d=0.000704451 t=10114
bian4 hua4 	变化	c=1 d=0.00990218 t=10114
bian4 le5 	变了	c=1 d=7.66659e-22 t=10114
bian4 liang4 	变量	c=2 d=4.72134e-20 t=10114
bian4 wei4 	变为	c=1 d=8.34533e-20 t=10114
bian4 xian4 	变现	c=1 d=6.3542e-19 t=10114
biao1 chi3 	标尺	c=2 d=1.5899e-06 t=10114
biao1 ji4 	标记	c=1 d=0.0365162 t=10114
biao1 qian1 	标签	c=1 d=5.7933e-20 t=10114
biao1 qian1 ye4 	标签页	c=6 d=1.34472e-06 t=10114
biao1 shi4 	标示	c=1 d=4.75219e-13 t=10114
biao1 zhun3 	标准	c=2 d=0.0366992 t=10114
biao3 ge2 	表格	c=2 d=0.0600966 t=10114
biao3 tou2 	表头	c=1 d=7.78246e-22 t=10114
bie2 	别	c=3 d=0.0109436 t=10114
bie2 de5 	别的	c=1 d=1.47874e-14 t=10114
bie2 jing1 	别经	c=1 d=7.8947e-14 t=10114
bie2 ming2 	别名	c=5 d=1.43076e-08 t=10114
bing4 	并	c=6 d=0.0088105 t=10114
bing4 	病	c=1 d=1.03418e-13 t=10114
bing4 bu2 hui4 	并不会	c=1 d=6.81494e-19 t=10114
bo1 	播	c=2 d=1.05904e-13 t=10114
bo1 	波	c=1 d=5.11083e-16 t=10114
bo2 hui2 	驳回	c=3 d=7.65367e-15 t=10114
bo2 zi5 	脖子	c=0 d=0.000543443 t=10114
bo2 zi5 teng2 	脖子疼	c=1 d=0.00546167 t=10114
bu2 dao4 	不到	c=1 d=1.17108e-05 t=10114
bu2 hui4 	不会	c=5 d=0.00976286 t=10114
bu2 shi4 	不是	c=34 d=0.572082 t=10114
bu2 yao4 	不要	c=3 d=3.36607e-11 t=10114
bu3 	补	c=2 d=0.00334984 t=10114
bu3 chang2 	补偿	c=2 d=3.20596e-21 t=10114
bu3 chong1 	补充	c=7 d=0.0478679 t=10114
bu3 huo4 	捕获	c=2 d=0.372791 t=10114
bu3 quan2 	补全	c=4 d=3.48663e-11 t=10114
bu4 	不	c=34 d=0.986552 t=10114
bu4 bang1 ni3 	不帮你	c=2 d=3.99375e-18 t=10114
bu4 bi3 	不比	c=1 d=3.2515e-19 t=10114
bu4 bi4 	不必	c=1 d=3.23528e-19 t=10114
bu4 chi1 	不吃	c=1 d=5.22401e-09 t=10114
bu4 chou2 	不愁	c=1 d=2.62247e-19 t=10114
bu4 cun2 zai4 	不存在	c=4 d=0.0209985 t=10114
bu4 dei3 	不得	c=3 d=4.00882e-11 t=10114
bu4 dong3 	不懂	c=1 d=3.5571e-17 t=10114
bu4 dong4 	不动	c=3 d=0.00701525 t=10114
bu4 du2 	不读	c=2 d=2.84965e-12 t=10114
bu4 duo1 	不多	c=1 d=0.210136 t=10114
bu4 fang2 	布防	c=1 d=7.21889e-20 t=10114
bu4 fen4 	部分	c=2 d=5.53958e-21 t=10114
bu4 gan3 	不敢	c=1 d=0.913931 t=10114
bu4 gan3 kan4 	不敢看	c=1 d=6.46583e-18 t=10114
bu4 gei3 	不给	c=1 d=1.36789e-09 t=10114
bu4 gei3 qian2 	不给钱	c=2 d=0.135335 t=10114
bu4 geng1 xin1 	不更新	c=2 d=5.97344e-05 t=10114
bu4 gu4 	不顾	c=1 d=4.88511e-14 t=10114
bu4 guan1 zhu4 	不关注	c=1 d=4.90959e-14 t=10114
bu4 gui4 	不贵	c=1 d=0.00100779 t=10114
bu4 hao3 	不好	c=4 d=0.202963 t=10114
bu4 hei1 	不黑	c=1 d=3.52782e-08 t=10114
bu4 huan4 	不换	c=1 d=4.79914e-11 t=10114
bu4 jiu4 shi4 	不就是	c=2 d=8.13e-06 t=10114
bu4 jiu4 shi4 ji2 	不就是及	c=1 d=2.66165e-17 t=10114
bu4 jiu4 xing2 le5 	不就行了	c=1 d=1.84771e-17 t=10114
bu4 ju2 	布局	c=1 d=1.94581e-08 t=10114
bu4 ka3 	不卡	c=1 d=4.2874e-08 t=10114
bu4 kai1 xin1 	不开心	c=0 d=4.95978e-17 t=10114
bu4 kai1 xin1 le5 	不开心了	c=1 d=4.98464e-16 t=10114
bu4 ke3 neng2 	不可能	c=1 d=1.82808e-09 t=10114
bu4 ke3 pa4 	不可怕	c=1 d=4.86157e-16 t=10114
bu4 la1 	不拉	c=1 d=0.0127147 t=10114
bu4 lai2 	不来	c=1 d=0.108067 t=10114
bu4 liao3 	不了	c=3 d=2.47446e-12 t=10114
bu4 mu4 	不睦	c=1 d=2.35538e-20 t=10114
bu4 neng2 	不能	c=3 d=2.6987e-09 t=10114
bu4 ning ne5 gan 	不宁呢干	c=1 d=7.1422e-12 t=10114
bu4 pa4 	不怕	c=2 d=0.261846 t=10114
bu4 pai2 chi4 	不排斥	c=1 d=5.30657e-17 t=10114
bu4 pian1 	不偏	c=1 d=6.30404e-14 t=10114
bu4 qi3 dong4 	不启动	c=1 d=8.07091e-09 t=10114
bu4 qing1 chu3 le5 	不清楚了	c=1 d=1.47212e-20 t=10114
bu4 qing1 xi1 	不清晰	c=1 d=1.68839e-15 t=10114
bu4 quan2 	不全	c=3 d=8.9291e-13 t=10114
bu4 que1 qian2 	不缺钱	c=2 d=1.90998e-18 t=10114
bu4 rang4 	不让	c=2 d=0.0550232 t=10114
bu4 ru2 	不如	c=2 d=8.65898e-09 t=10114
bu4 shao3 	不少	c=1 d=0.00019549 t=10114
bu4 she4 zhi4 	不设置	c=1 d=0.396531 t=10114
bu4 sheng1 	不生	c=1 d=0.136014 t=10114
bu4 shu1 fu2 	不舒服	c=2 d=0.00353518 t=10114
bu4 shu3 	部署	c=3 d=0.158531 t=10114
bu4 suan4 	不算	c=1 d=1.44321e-22 t=10114
bu4 tai4 	不太	c=2 d=0.310367 t=10114
bu4 ti2 chang4 	不提倡	c=1 d=3.03116e-17 t=10114
bu4 tian2 	不填	c=1 d=4.9495e-21 t=10114
bu4 tong1 guo4 	不通过	c=2 d=1.25473e-15 t=10114
bu4 tong2 	不同	c=9 d=1.94099 t=10114
bu4 wei4 	不为	c=1 d=5.97907e-09 t=10114
bu4 xi1 wang4 	不希望	c=2 d=6.13148e-11 t=10114
bu4 xian4 shi2 	不现实	c=1 d=5.94723e-05 t=10114
bu4 xiang3 	不想	c=2 d=5.11483e-09 t=10114
bu4 xiang3 chi1 	不想吃	c=1 d=5.32954e-09 t=10114
bu4 xiang3 hun chi1 	不想混吃	c=1 d=5.30296e-09 t=10114
bu4 xiang3 xue2 	不想学	c=1 d=9.78833e-14 t=10114
bu4 xiao4 	不孝	c=1 d=2.07826e-18 t=10114
bu4 xing2 	不行	c=3 d=0.191092 t=10114
bu4 xing2 jie1 	步行街	c=1 d=2.81702e-08 t=10114
bu4 xuan3 	不选	c=1 d=1.29266e-20 t=10114
bu4 yi1 zhi4 	不一致	c=1 d=3.42589e-16 t=10114
bu4 yi2 ding4 	不一定	c=2 d=8.51008e-14 t=10114
bu4 yi2 yang4 	不一样	c=7 d=0.0252558 t=10114
bu4 ying1 gai1 	不应该	c=1 d=4.7203e-22 t=10114
bu4 ying4 ding3 	不硬顶	c=1 d=4.76612e-18 t=10114
bu4 yong4 	不用	c=9 d=0.108609 t=10114
bu4 zai4 	不再	c=1 d=1.45772e-22 t=10114
bu4 zhe4 yang4 	不这样	c=1 d=1.21403e-17 t=10114
bu4 zhi1 chi2 	不支持	c=3 d=0.0186963 t=10114
bu4 zhi1 dao4 	不知道	c=13 d=0.541645 t=10114
bu4 zhi3 	不止	c=1 d=0.000165755 t=10114
bu4 zhou4 	步骤	c=3 d=5.7139e-11 t=10114
bu4 zou3 	不走	c=1 d=2.42085e-19 t=10114
bu4 zuo4 	不做	c=2 d=2.82335e-05 t=10114
cai2 	才	c=2 d=4.55174e-06 t=10114
cai2 hao3 	才好	c=1 d=1.77158e-22 t=10114
cai2 neng2 	才能	c=3 d=1.35427e-09 t=10114
cai2 ren2 	裁人	c=1 d=1.17267e-21 t=10114
cai2 shi4 	才是	c=2 d=5.23664e-08 t=10114
cai2 wu4 	财务	c=6 d=1.6332e-17 t=10114
cai3 li3 	彩礼	c=5 d=4.17811e-15 t=10114
cai4 	菜	c=2 d=1.08651e-18 t=10114
cai4 dan1 	菜单	c=1 d=1.74853e-15 t=10114
cai4 shi4 chang3 	菜市场	c=1 d=1.02319e-05 t=10114
cai4 zi3 you2 	菜籽油	c=1 d=7.73442e-08 t=10114
can1 guan3 	餐馆	c=1 d=3.10146e-22 t=10114
can1 kao3 	参考	c=1 d=0.000626727 t=10114
can1 shu4 	参数	c=13 d=0.0129038 t=10114
can1 yu4 	参与	c=1 d=9.9295e-06 t=10114
cang1 ku4 	仓库	c=14 d=0.000163264 t=10114
cang2 hu2 	藏狐	c=1 d=1.06292e-12 t=10114
cao1 zuo4 	操作	c=8 d=3.22423e-09 t=10114
cao3 mao4 	草帽	c=2 d=3.99453e-17 t=10114
ce4 shi4 	测试	c=30 d=0.000265724 t=10114
ceng2 	层	c=1 d=0.00265848 t=10114
ceng4 liu2 liang4 	蹭流量	c=1 d=3.44482e-22 t=10114
cha 	差	c=0 d=8.51102e-17 t=10114
cha hun gan jian1 	差混干煎	c=1 d=7.34321e-15 t=10114
cha hun kan4 	差混看	c=1 d=2.86846e-15 t=10114
cha kong na2 	差空拿	c=3 d=1.30173e-12 t=10114
cha1 bie2 	差别	c=1 d=7.39786e-14 t=10114
cha1 jia4 	差价	c=1 d=1.15106e-08 t=10114
cha1 jian4 	插件	c=6 d=6.52299e-07 t=10114
cha1 ru4 	插入	c=2 d=6.93537e-11 t=10114
cha1 yi4 	差异	c=3 d=7.17742e-06 t=10114
cha1 zhi2 	差值	c=1 d=1.31743e-08 t=10114
cha2 	查	c=7 d=1.98627e-06 t=10114
cha2 dao4 	查到	c=1 d=9.28375e-09 t=10114
cha2 kan4 	查看	c=46 d=0.0116204 t=10114
cha2 xun2 	查询	c=9 d=4.54257e-10 t=10114
cha2 zhao3 	查找	c=20 d=8.29329e-11 t=10114
cha2 zhong4 	查重	c=1 d=5.2123e-12 t=10114
cha4 bu4 duo1 	差不多	c=1 d=5.93692e-14 t=10114
cha4 bu4 liao3 	差不了	c=1 d=6.86332e-14 t=10114
chai1 cheng2 	拆成	c=1 d=0.000982903 t=10114
chai1 fen1 	拆分	c=1 d=2.45492e-07 t=10114
chai1 kai1 	拆开	c=0 d=0.0511709 t=10114
chai1 kai1 le5 	拆开了	c=1 d=0.514274 t=10114
chan3 	产	c=1 d=3.4945e-14 t=10114
chan3 chu1 bi3 	产出比	c=1 d=9.52688e-19 t=10114
chan3 pin3 	产品	c=5 d=1.43291e-11 t=10114
chan3 quan2 	产权	c=2 d=0.00466886 t=10114
chan3 ye4 	产业	c=1 d=0.640824 t=10114
chang2 	长	c=1 d=3.60215e-18 t=10114
chang2 du4 	长度	c=1 d=2.66075e-13 t=10114
chang2 jian4 	常见	c=1 d=1.0872e-13 t=10114
chang2 mu4 	长木	c=1 d=1.16302e-12 t=10114
chang2 qi1 	长期	c=1 d=1.29288e-22 t=10114
chang2 shi4 	尝试	c=2 d=0.00548905 t=10114
chang2 zi5 	肠子	c=1 d=9.9123e-15 t=10114
chang3 jia1 	厂家	c=3 d=0.000167641 t=10114
chao1 	超	c=2 d=1.30011e-21 t=10114
chao1 guo4 	超过	c=3 d=0.155673 t=10114
chao1 ji2 	超级	c=2 d=0.0156076 t=10114
chao1 shi4 	超市	c=5 d=0.000511961 t=10114
chao1 xi2 	抄袭	c=1 d=4.09234e-19 t=10114
che4 xiao1 	撤销	c=1 d=1.67968e-13 t=10114
cheng1 qi3 le5 	撑起了	c=1 d=1.43528e-16 t=10114
cheng2 	成	c=4 d=0.52177 t=10114
cheng2 ben3 	成本	c=7 d=0.000214072 t=10114
cheng2 du1 	成都	c=1 d=7.85131e-08 t=10114
cheng2 du4 	程度	c=1 d=7.81215e-08 t=10114
cheng2 gong1 	成功	c=6 d=1.86437e-05 t=10114
cheng2 jiu4 	成就	c=1 d=8.28368e-21 t=10114
cheng2 jiu4 gan3 	成就感	c=1 d=1.48666e-18 t=10114
cheng2 li4 	成立	c=4 d=0.00224287 t=10114
cheng2 nuo4 	承诺	c=1 d=2.06115e-09 t=10114
cheng2 shi4 	城市	c=1 d=2.22895e-18 t=10114
cheng2 wei2 	成为	c=2 d=2.24005e-19 t=10114
cheng2 xu4 	程序	c=11 d=0.38386 t=10114
cheng2 xu4 yuan2 	程序员	c=4 d=7.51554e-22 t=10114
chi1 	吃	c=9 d=0.0640608 t=10114
chi1 ba5 	吃吧	c=1 d=5.27651e-09 t=10114
chi1 bao3 	吃饱	c=1 d=1.33157e-16 t=10114
chi1 chi1 	吃吃	c=1 d=4.01758e-08 t=10114
chi1 dai 	吃待	c=1 d=5.87785e-14 t=10114
chi1 de5 	吃的	c=1 d=5.76146e-14 t=10114
chi1 fan4 le5 	吃饭了	c=1 d=0.00591656 t=10114
chi1 he1 	吃喝	c=1 d=2.60939e-19 t=10114
chi1 huai4 	吃坏	c=1 d=0.0623495 t=10114
chi1 yao4 	吃药	c=1 d=1.29936e-22 t=10114
chi2 dao4 	迟到	c=1 d=1.87372e-05 t=10114
chi2 xu4 	持续	c=1 d=1.8024e-19 t=10114
chong1 tu1 	冲突	c=1 d=1.60577e-13 t=10114
chong2 fu4 	重复	c=2 d=6.0246e-10 t=10114
chong2 shi4 	重试	c=2 d=0.00708341 t=10114
chong2 xin1 	重新	c=4 d=0.0320647 t=10114
chong3 wu4 	宠物	c=11 d=3.6318e-20 t=10114
chou1 kong1 	抽空	c=1 d=2.44559e-21 t=10114
chou2 	愁	c=1 d=1.39984e-16 t=10114
chou2 pie ning gan 	愁撇宁干	c=1 d=2.10895e-14 t=10114
chu 	处	c=1 d=0.00222055 t=10114
chu1 	出	c=2 d=0.88692 t=10114
chu1 	初	c=2 d=1.60531e-09 t=10114
chu1 fa1 	出发	c=1 d=2.3465e-05 t=10114
chu1 gui3 	出轨	c=1 d=0.113608 t=10114
chu1 lai2 	出来	c=3 d=3.99691e-08 t=10114
chu1 qu4 	出去	c=3 d=7.08461e-05 t=10114
chu1 shi3 hua4 	初始化	c=2 d=3.14405e-06 t=10114
chu1 xian4 	出现	c=2 d=8.08904e-06 t=10114
chu2 le5 	除了	c=1 d=0.0117371 t=10114
chu3 li3 	处理	c=8 d=0.339073 t=10114
chu3 nv3 mo2 	处女膜	c=1 d=5.45407e-16 t=10114
chu4 fa1 	触发	c=1 d=2.35826e-05 t=10114
chuan2 	传	c=4 d=0.0113902 t=10114
chuan2 can1 	传参	c=1 d=2.87736e-22 t=10114
chuan2 ru4 	传入	c=1 d=3.54792e-16 t=10114
chuan2 tong3 	传统	c=1 d=6.64554e-17 t=10114
chuan4 liu2 	串流	c=1 d=1.44572e-13 t=10114
chuang1 	窗	c=1 d=2.82576e-15 t=10114
chuang1 kou3 	窗口	c=1 d=2.26071e-08 t=10114
chuang2 dan1 	床单	c=1 d=5.76244e-16 t=10114
chuang4 jian4 	创建	c=32 d=2.71408 t=10114
chuang4 xin1 	创新	c=1 d=0.000495472 t=10114
chun2 	纯	c=1 d=1.18631e-10 t=10114
chun3 le5 	蠢了	c=1 d=8.98918e-12 t=10114
ci2 dian3 	词典	c=2 d=8.91821e-07 t=10114
ci2 pan2 	磁盘	c=1 d=1.74794e-11 t=10114
