# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	64601
#@/user_id	2936c340-6f85-42ad-8ce9-4366b014c95e
bai ping 	白屏	c=1 d=2.26888e-21 t=64601
ban 	半	c=3 d=2.45576e-11 t=64601
ban 	板	c=3 d=0.011475 t=64601
ban 	班	c=2 d=1.25745e-48 t=64601
ban ben 	版本	c=67 d=2.87317 t=64601
ban ben hao 	版本号	c=4 d=5.18454e-08 t=64601
ban dao 	搬到	c=1 d=6.79365e-41 t=64601
ban de 	办的	c=1 d=2.43042e-36 t=64601
ban de dong 	搬得动	c=2 d=7.73365e-99 t=64601
ban dong 	搬动	c=1 d=3.76566e-99 t=64601
ban fa 	办法	c=2 d=2.27754e-07 t=64601
ban gong 	办公	c=1 d=4.15335e-46 t=64601
ban gong shi 	办公室	c=1 d=2.47928e-123 t=64601
ban guo lai 	搬过来	c=2 d=2.17588e-65 t=64601
ban jiao 	半角	c=2 d=0.10547 t=64601
ban jing 	半径	c=1 d=1.66111e-88 t=64601
ban le 	办了	c=1 d=3.38121e-38 t=64601
ban lv 	伴侣	c=16 d=1.79764e-50 t=64601
ban nian 	半年	c=3 d=4.09578e-27 t=64601
ban ping 	扳平	c=1 d=1.08436e-41 t=64601
ban tian 	半天	c=4 d=5.02671e-56 t=64601
ban tou ming 	半透明	c=2 d=5.55271e-21 t=64601
ban xiao shi 	半小时	c=3 d=2.64729e-11 t=64601
ban xing 	板型	c=0 d=1.05281e-77 t=64601
ban zhang 	班长	c=1 d=1.23054e-117 t=64601
ban zheng 	办证	c=2 d=2.17725e-36 t=64601
ban zhuan 	搬砖	c=2 d=1.08399 t=64601
bang 	帮	c=6 d=7.35221e-22 t=64601
bang a 	棒啊	c=0 d=1.13733e-103 t=64601
bang a ming 	棒啊名	c=1 d=1.14303e-102 t=64601
bang bang wo 	帮帮我	c=1 d=7.59031e-22 t=64601
bang bu liao 	帮不了	c=1 d=2.72477e-28 t=64601
bang dan 	榜单	c=34 d=0.276784 t=64601
bang ding 	绑定	c=32 d=0.187435 t=64601
bang ding le 	绑定了	c=1 d=9.83007e-64 t=64601
bang mang 	帮忙	c=68 d=8.70394e-05 t=64601
bang ni 	帮你	c=3 d=1.76821e-29 t=64601
bang ni men 	帮你们	c=1 d=5.94564e-90 t=64601
bang ping 	帮平	c=1 d=1.16378e-49 t=64601
bang ta 	帮他	c=1 d=4.65002e-22 t=64601
bang ta men 	帮他们	c=1 d=3.13263e-22 t=64601
bang wo 	帮我	c=97 d=0.365652 t=64601
bang zhu 	帮助	c=1 d=4.16126e-39 t=64601
bao 	包	c=77 d=7.03347e-08 t=64601
bao 	宝	c=2 d=0.755784 t=64601
bao 	报	c=37 d=0.000111365 t=64601
bao 	抱	c=3 d=0.909373 t=64601
bao bao 	宝宝	c=4 d=0.348192 t=64601
bao biao 	爆表	c=1 d=9.30658e-126 t=64601
bao chi 	保持	c=6 d=2.20326e-23 t=64601
bao cun 	保存	c=27 d=9.33197e-11 t=64601
bao cuo 	报错	c=42 d=1.29579e-19 t=64601
bao cuo le 	报错了	c=13 d=0.0250972 t=64601
bao fang 	包房	c=1 d=2.65958e-96 t=64601
bao fu 	报复	c=1 d=6.14865e-132 t=64601
bao gao 	报告	c=2 d=2.33917e-27 t=64601
bao gao li 	报告里	c=1 d=3.35009e-135 t=64601
bao guan 	报官	c=1 d=7.74076e-47 t=64601
bao guang 	曝光	c=25 d=1.88179e-05 t=64601
bao guo 	报过	c=3 d=3.17573e-16 t=64601
bao han 	包含	c=14 d=2.11539e-11 t=64601
bao hu 	保护	c=4 d=6.58928e-118 t=64601
bao huo 	保活	c=1 d=1.08318e-87 t=64601
bao ji 	暴击	c=10 d=6.68411e-85 t=64601
bao ji lv 	暴击率	c=1 d=7.84521e-87 t=64601
bao jian yuan 	保健院	c=1 d=7.03735e-132 t=64601
bao kuo 	包括	c=1 d=5.0617e-20 t=64601
